Time, Site, OBS Score, OBS Grade, TLS Score, TLS Grade, External Links
2020-03-07T15:51+09:00, http://ajunews.com/, [F], 0, A, (92/100), 7
2020-03-07T15:52+09:00, http://asiae.co.kr/, [F], 0, A, (92/100), 1
2020-03-07T15:52+09:00, http://asiailbo.co.kr/, [F], 0, A, (92/100), 3
2020-03-07T15:52+09:00, http://asiatoday.co.kr/, [F], 0, B, (75/100), 1
2020-03-07T15:53+09:00, http://busan.com/, [F], 0, F, (0/100), 7
2020-03-07T15:53+09:00, http://cctimes.kr/, [F], 0, A, (92/100), 2
2020-03-07T15:54+09:00, http://cctoday.co.kr/, [F], 0, A, (92/100), 4
2020-03-07T15:54+09:00, http://chosun.com/, [F], 0, A, (92/100), 0
2020-03-07T15:54+09:00, http://daejonilbo.com/, [F], 0, F, (0/100), 2
2020-03-07T15:55+09:00, http://dailian.co.kr/, [F], 0, F, (0/100), 5
2020-03-07T15:55+09:00, http://donga.com/, [F], 0, F, (0/100), 1
2020-03-07T15:55+09:00, http://dt.co.kr/, [F], 0, B, (74/100), 0
2020-03-07T15:55+09:00, http://dynews.co.kr/, [F], 0, A, (93/100), 0
2020-03-07T15:56+09:00, http://edaily.co.kr/, [F], 5, F, (0/100), 3
2020-03-07T15:56+09:00, http://egloos.com/, [F], 0, F, (0/100), 2
2020-03-07T15:56+09:00, http://ekn.kr/, [F], 0, A, (92/100), 6
2020-03-07T15:57+09:00, http://etnews.com/, [F], 0, A, (88/100), 0
2020-03-07T15:57+09:00, http://etoday.co.kr/news/, [F], 0, F, (0/100), 5
2020-03-07T15:59+09:00, http://gnnews.co.kr/, [F], 0, F, (0/100), 1
2020-03-07T16:00+09:00, http://gyotongn.com/, [F], 0, A, (92/100), 1
2020-03-07T16:00+09:00, http://hani.co.kr/, [F], 0, B, (76/100), 3
2020-03-07T16:00+09:00, http://hankooki.com/, [F], 0, F, (0/100), 3
2020-03-07T16:00+09:00, http://hankookilbo.com/, [F], 0, A, (92/100), 5
2020-03-07T16:00+09:00, http://hankyung.com/, [F], 0, A, (87/100), 2
2020-03-07T16:00+09:00, http://hkbs.co.kr/, [F], 0, A, (92/100), 5
2020-03-07T16:00+09:00, http://idaegu.co.kr/, [F], 0, A, (92/100), 0
2020-03-07T16:03+09:00, http://idomin.com/, [F], 0, A, (90/100), 0
2020-03-07T16:03+09:00, http://ihalla.com/, [F], 0, A, (87/100), 0
2020-03-07T16:03+09:00, http://jejumaeil.net/, [F], 0, A, (92/100), 0
2020-03-07T16:03+09:00, http://jejunews.com/, [F], 0, A, (93/100), 3
2020-03-07T16:03+09:00, http://jemin.com/, [F], 0, A, (92/100), 3
2020-03-07T16:03+09:00, http://jjan.kr/, [F], 0, A, (92/100), 2
2020-03-07T16:04+09:00, http://jjn.co.kr/, [F], 0, A, (92/100), 1
2020-03-07T16:04+09:00, http://joongang.joins.com/, [F], 0, A, (90/100), 21
2020-03-07T16:04+09:00, http://joongboo.com/, [F], 0, A, (92/100), 5
2020-03-07T16:04+09:00, http://joongdo.co.kr/main/, [F], 0, F, (0/100), 32
2020-03-07T16:04+09:00, http://jtbc.joins.com/, [F], 0, A, (92/100), 1
2020-03-07T16:04+09:00, http://kado.net/, [F], 0, A, (87/100), 3
2020-03-07T16:04+09:00, http://kbs.co.kr/, [F], 0, F, (0/100), 0
2020-03-07T16:04+09:00, http://khan.co.kr/, [F], 0, F, (0/100), 2
2020-03-07T16:05+09:00, http://kihoilbo.co.kr/, [F], 0, B, (75/100), 2
2020-03-07T16:05+09:00, http://kmib.co.kr/, [F], 0, F, (0/100), 1
2020-03-07T16:05+09:00, http://knnews.co.kr/, [F], 0, A, (90/100), 1
2020-03-07T16:05+09:00, http://koenergy.co.kr/, [F], 0, A, (92/100), 2
2020-03-07T16:05+09:00, http://kookje.co.kr/, [F], 0, B, (76/100), 5
2020-03-07T16:05+09:00, http://koreadaily.com/, [F], 0, F, (0/100), 9
2020-03-07T16:06+09:00, http://koreaherald.com/, [F], 0, A, (92/100), 20
2020-03-07T16:06+09:00, http://koreajoongangdaily.joins.com/, [F], 0, A, (87/100), 16
2020-03-07T16:06+09:00, http://kwnews.co.kr/, [F], 0, F, (0/100), 1
2020-03-07T16:06+09:00, http://kyeonggi.com/, [F], 0, A, (92/100), 2
2020-03-07T16:08+09:00, http://kyeongin.com/main/, [F], 0, F, (0/100), 38
2020-03-07T16:08+09:00, http://kyongbuk.co.kr/, [F], 0, A, (92/100), 2
2020-03-07T16:10+09:00, http://mediatoday.co.kr/, [F], 0, A, (90/100), 0
2020-03-07T16:12+09:00, http://mk.co.kr/, [F], 15, A, (92/100), 2
2020-03-07T16:13+09:00, http://mokpotoday.com/, [F], 0, F, (0/100), 0
2020-03-07T16:14+09:00, http://mt.co.kr/, [F], 0, F, (0/100), 4
2020-03-07T16:14+09:00, http://munhwa.com/, [F], 0, F, (0/100), 0
2020-03-07T16:16+09:00, http://mydaily.co.kr/, [F], 0, A, (92/100), 0
2020-03-07T16:18+09:00, http://naeil.com/, [F], 0, A, (87/100), 1
2020-03-07T16:21+09:00, http://nbiz.heraldcorp.com/, [F], 0, A, (92/100), 23
2020-03-07T16:23+09:00, http://newdaily.co.kr/, [F], 0, A, (92/100), 2
2020-03-07T16:24+09:00, http://news1.kr/, [F], 0, A, (92/100), 1
2020-03-07T16:26+09:00, http://newscj.com/, [F], 0, B, (75/100), 2
2020-03-07T16:28+09:00, http://newsis.com/, , A, (92/100), 0
2020-03-07T16:34+09:00, http://newstapa.org/, , A, (92/100), 6
2020-03-07T16:40+09:00, http://nocutnews.co.kr/, [F], 0, A, (88/100), 2
2020-03-07T16:43+09:00, http://nyjtoday.com/, [F], 0, A, (90/100), 1
2020-03-07T16:45+09:00, http://ohmynews.com/, [F], 0, F, (0/100), 6
2020-03-07T16:46+09:00, http://outstanding.kr/, [F], 20, A, (92/100), 4
2020-03-07T16:47+09:00, http://pdjournal.com/, [F], 0, A, (92/100), 2
2020-03-07T16:48+09:00, http://pressian.com/, [F], 0, A, (92/100), 11
2020-03-07T16:50+09:00, http://redian.org/, [F], 0, F, (0/100), 5
2020-03-07T16:50+09:00, http://sbs.co.kr/, [F], 0, F, (0/100), 0
2020-03-07T16:51+09:00, http://sedaily.com/, [F], 0, A, (87/100), 4
2020-03-07T16:53+09:00, http://segye.com/, , B, (76/100), 1
2020-03-07T16:59+09:00, http://segyetimes.co.kr/, [F], 0, B, (76/100), 22
2020-03-07T17:01+09:00, http://seoul.co.kr/, [F], 0, A, (87/100), 3
2020-03-07T17:03+09:00, http://seoulilbo.com/, [F], 0, A, (93/100), 2
2020-03-07T17:04+09:00, http://shinailbo.co.kr/, [F], 0, A, (92/100), 2
2020-03-07T17:06+09:00, http://sisain.co.kr/, [F], 0, A, (92/100), 6
2020-03-07T17:08+09:00, http://sktimes.co.kr/, [F], 0, A, (92/100), 0
2020-03-07T17:09+09:00, http://sports.chosun.com/, [F], 0, A, (92/100), 4
2020-03-07T17:11+09:00, http://sports.hankooki.com/, [F], 0, A, (93/100), 15
2020-03-07T17:12+09:00, http://sportsseoul.com/, [F], 0, B, (74/100), 4
2020-03-07T17:13+09:00, http://sportsworldi.com/, [F], 0, B, (76/100), 1
