Time, Site, OBS Score, OBS Grade, TLS Score, TLS Grade, External Links
2020-03-03T16:52+09:00, http://cnn.com/, [F], 0, A, (92/100), 34
2020-03-03T16:53+09:00, http://nytimes.com/, [D], 30, A, (93/100), 3
2020-03-03T16:54+09:00, http://washingtonpost.com/, [F], 0, A, (92/100), 20
2020-03-03T16:54+09:00, http://breitbart.com/, [F], 0, A, (92/100), 23
2020-03-03T16:55+09:00, http://foxnews.com/, [F], 0, A, (92/100), 25
2020-03-03T16:55+09:00, http://huffingtonpost.com/, [C], 50, A, (92/100), 22
2020-03-03T16:56+09:00, http://vice.com/, [B], 70, A, (92/100), 13
2020-03-03T16:56+09:00, http://usatoday.com/, [F], 0, A, (93/100), 67
2020-03-03T16:57+09:00, http://npr.org/, [C], 55, A, (88/100), 1
2020-03-03T16:58+09:00, http://cbsnews.com/, [F], 0, A, (92/100), 30
2020-03-03T16:58+09:00, http://usnews.com/, [F], 0, A, (92/100), 0
2020-03-03T16:59+09:00, http://nbcnews.com/, [F], 0, A, (90/100), 1
2020-03-03T16:59+09:00, http://politico.com/, [F], 0, A, (92/100), 2
2020-03-03T17:00+09:00, http://theatlantic.com/, [F], 0, A, (93/100), 2
2020-03-03T17:01+09:00, http://time.com/, [F], 0, A, (92/100), 13
2020-03-03T17:01+09:00, http://newsweek.com/, [F], 0, A, (92/100), 5
2020-03-03T17:02+09:00, http://abcnews.go.com/, [F], 0, A, (92/100), 27
2020-03-03T17:03+09:00, http://reuters.com/, [F], 0, A, (93/100), 34
2020-03-03T17:03+09:00, http://slate.com/, [C], 55, A, (93/100), 3
2020-03-03T17:04+09:00, http://thedailybeast.com/, [F], 15, A, (92/100), 8
2020-03-03T17:04+09:00, http://vox.com/, [C+], 60, A, (93/100), 23
2020-03-03T17:04+09:00, http://apnews.com/, [F], 20, A, (92/100), 1
2020-03-03T17:05+09:00, http://chicagotribune.com/, [F], 0, A, (92/100), 15
2020-03-03T17:06+09:00, http://newyorker.com/, [F], 5, A, (93/100), 11
2020-03-03T17:06+09:00, http://tampabay.com/, [F], 0, A, (93/100), 5
2020-03-03T17:06+09:00, http://nypost.com/, [F], 10, A, (92/100), 83
2020-03-03T17:07+09:00, http://nydailynews.com/, [F], 0, F, (0/100), 14
2020-03-03T17:07+09:00, http://latimes.com/, [F], 0, A, (92/100), 31
2020-03-03T17:08+09:00, http://seattletimes.com/, [F], 0, A, (92/100), 0
2020-03-03T17:13+09:00, http://bostonglobe.com/, [F], 0, A, (88/100), 6
2020-03-03T17:14+09:00, http://denverpost.com/, [F], 0, A, (93/100), 23
2020-03-03T17:15+09:00, http://wsj.com/, [F], 0, A, (93/100), 18
2020-03-03T17:15+09:00, http://chron.com/, [F], 0, A, (92/100), 5
2020-03-03T17:16+09:00, http://newsday.com/, [F], 0, A, (93/100), 0
2020-03-03T17:16+09:00, http://dallasnews.com/, [F], 10, A, (93/100), 3
